Index,screen_name,count,classification,user_defined_location,class,mean,std_dev,points>100,ratio
412,aadityadamss,3,None,"Kanpur, India",2,71.61927471,192.2570602,15,0.021276596
413,tmj_ide_eng,3,None,Delhi,1,9.164309975,16.28540619,0,
414,shubham78625,3,Tourist,"New Delhi, Delhi",1,1923.134716,3723.083572,64,0.545454545
415,BooksetcCo,3,Resident,"New Delhi, India",1,500.5438906,1486.974877,13,4
416,ParitKumar,3,None,"Bhiwadi, India",2,44.03260246,78.56679664,2,
417,theauduo,3,Resident,"New Delhi, India",1,1018.208299,3472.125925,3,8
418,BhairiYadav,3,None,"Metpalli, India",2,61.57309503,115.1292502,8,
419,iamkushmusic,3,Resident,"New Delhi, India",1,7.788262417,27.91889062,2,1.666666667
420,dranmolchugh,3,Tourist,"New Delhi, India",1,53.6953013,230.2072721,4,0.1
421,SharmaRudhransh,3,None,"Mumbai, India",2,122.3432952,239.1249658,8,
422,debanjan_pt,3,None,Delhi,1,0.25938164,1.316658627,0,
423,rochika,3,None,"New Delhi, India",1,2278.753886,3932.089378,11,0.666666667
424,pankajramsaroj,3,None,india,2,916.2337725,739.6585872,16,0.045454545
425,longge881,3,None,Shenzhen,2,57.13526173,329.7323008,16,
426,smartnits013,3,None,Gurgaon,1,513.873116,1748.155142,5,
427,gymnastdeepesh,3,Resident,"New Delhi, India",1,32.05392901,77.62226284,6,5.714285714
428,Surya_P_Tiwari,3,None,"Lucknow, India",2,84.79438167,230.3957346,2,
429,prateek_saini_,3,Resident,"New Delhi, India",1,112.8217809,297.1221684,2,15
430,khanashraf043,3,Tourist,New delhi,1,6.353599509,73.08230855,8,1.125211506
431,iamMahendra4444,3,None,"Surat, Gujarat. india ????",2,3209.01171,4791.160444,40,
432,KartikBhattOff2,3,None,"Ahmadabad City, India",2,213.6071362,298.8868678,28,0.0125
433,RekhaSh54711685,3,Resident,"New Delhi, India",1,2.155047039,5.701718529,0,1.666666667
434,Rashmi_Alive,3,None,"Kolkata,India.",2,466.2492009,951.5454656,62,
435,FyGuang,3,None,China ????,2,698.4527756,1650.45403,159,
436,pvspanditvinay,3,None,"Akbarpur, India",2,156.1219447,193.2515994,3,
437,Shraybee,3,Tourist,"New Delhi, India",1,2018.535757,4662.873124,23,0.640625
438,indiayatravikas,3,Tourist,"Ghaziabad, India",1,1.376124127,3.571106637,0,0.004587156
439,techfrogin,3,Tourist,"New Delhi, Delhi",1,457.3080685,911.4361968,529,0.286786787
440,MukundNair,3,None,"Indore, Mumbai, Delhi, Gurgaon",2,65.56762897,240.5717802,24,0.01826484
441,royal_prabal,3,Tourist,"Noida, India",2,281.5440923,448.1053571,173,0.0175
442,PinkuSaurabh,3,Error,Badlapur Jaunpur India ,2,324.4894282,617.133227,1,
443,RahulkuMATHUR,3,Tourist,"New Delhi, India",1,3.631664693,34.53937258,21,
444,rocklyn24,3,Error,"Manchester, England",2,178.9024461,1041.895055,3,0.110707804
445,Xpertimages,3,Resident,New Delhi,1,125.9899077,356.0611603,5,0.073170732
446,AvanieSJoshi,3,Tourist,Mumbai,2,334.1370062,748.9330196,32,2
447,ash10ben10,3,None,TheSims World,2,251.5100933,1458.331317,7,0.964285714
448,rahularya986,3,Resident,"New Delhi, India",1,6.20896131,14.30134602,0,
449,sumitsherverma,3,Error,"New Delhi, India",1,596.3704505,699.8131207,4,0.142857143
450,mayue31,3,None,"Tianjin, China",2,403.3732211,1147.83197,95,
